Id,Count,Named,Original
fridaysforhubraum,205,#FridayForFuture,friday
cleatech,204,unamed,cleatech
 klimanotstand,204,FFF DE,klima
 suvs,204,unamed, suvs
photovoltaik,204,unamed,photovoltaik
weareunstoppable,204,unamed,weareunstoppable
bus,204,unamed,bus
earthday2022,203,#FridayForFuture,earthday
waldbrände,203,unamed,waldbrände
kohleausstiegsgesetz,202,FFF DE,kohleausstieg
cleanpower2035,201,unamed,cleanpower2035
heat,201,unamed,heat
energyefficiency,201,unamed,energyefficiency
conservation,201,unamed,conservation
klimawandels,201,FFF DE,klimawandel
altmaier,201,unamed,altmaier
allefuer1komma5,201,unamed,allefuer1komma5
datteln,201,unamed,datteln
 sun,200,unamed, sun
klimaaktivisten,200,FFF DE,klima
münchen,200,unamed,münchen
paris,200,unamed,paris
maaßen,199,unamed,maaßen
greenenergy,199,unamed,greenenergy
fossil,198,unamed,fossil
nomoreblahblahblah,198,unamed,nomoreblahblahblah
ice,198,unamed,ice
emobility,198,unamed,emobility
fcknzs,198,unamed,fcknzs
 flugscham,198,unamed, flugscham
coalcompanies,198,unamed,coalcompanies
venedig,197,unamed,venedig
oilcompanies,197,unamed,oilcompanies
bild,196,unamed,bild
fridays,196,#FridayForFuture,friday
klimastreiks,196,Action,klimastreik
fahrrad,196,unamed,fahrrad
 corona,195,Covid,corona
wirsindantifa,195,unamed,wirsindantifa
 hochwasser,195,unamed, hochwasser
plantbased,195,unamed,plantbased
hanau1902,195,unamed,hanau1902
 us,194,unamed, us
 fff_digital,194,#FridayForFuture,fff
 netzstreikfuersklima,194,FFF DE,klima
 stopdatteln4,194,FFF DE,datteln4
braunkohle,194,unamed,braunkohle
nyc,194,unamed,nyc
zerowaste,193,unamed,zerowaste
israel,193,unamed,israel
climateemergecy,192,#FridayForFuture,climate
peaceuponyemen,192,unamed,peaceuponyemen
crisis,192,unamed,crisis
containern,192,unamed,containern
auspol,192,unamed,auspol
mobile,190,unamed,mobile
 northsearevolution,190,unamed, northsearevolution
city,190,unamed,city
 norway,189,unamed, norway
 fightclimateinjustice,189,#FridayForFuture,climate
 worldenvironmentday,189,unamed, worldenvironmentday
kohlekompromiss,189,unamed,kohlekompromiss
stuttgart,189,unamed,stuttgart
love,188,unamed,love
singapore,187,unamed,singapore
 endfossilfuelsubsidies,187,Material,fossilfuels
 covidー19,187,Covid,covidー19
bahn,187,unamed,bahn
votethiscapdown,187,unamed,votethiscapdown
polluting,186,unamed,polluting
 11thhfc,186,unamed, 11thhfc
degrowth,186,unamed,degrowth
kiel,186,unamed,kiel
klimaschützer,186,FFF DE,klima
war,186,unamed,war
coventry,185,unamed,coventry
scottish,185,unamed,scottish
ecudaor,185,unamed,ecudaor
destruction,185,unamed,destruction
zivilerungehorsam,185,unamed,zivilerungehorsam
climatecatastrophe,185,#FridayForFuture,climate
scioperoperilclima,184,unamed,scioperoperilclima
stockholm50,183,unamed,stockholm50
cimateaction,183,unamed,cimateaction
flugverkehr,183,unamed,flugverkehr
vehicles,182,unamed,vehicles
 industry,182,unamed, industry
milano,182,unamed,milano
laschetdarfnichtkanzlerwerden,182,German politics,laschet
 davos,182,unamed, davos
gaskrise,182,Material,gas
tech,182,unamed,tech
 globalheating,181,unamed, globalheating
coronacrisis,181,Covid,corona
mauritius,181,unamed,mauritius
environmentally,181,unamed,environmentally
investing,181,unamed,investing
canberra,181,unamed,canberra
 globalclimatestrike,181,Action,climatestrike
pegida,181,unamed,pegida
bund,181,unamed,bund
 efficiency,180,unamed, efficiency
wissenschaft,180,unamed,wissenschaft
aufbruchsklima,179,FFF DE,klima
 leag,179,unamed, leag
blackout,179,unamed,blackout
seehofer,178,unamed,seehofer
ukrainekrieg,177,unamed,ukrainekrieg
 hamburgwähltklima,177,FFF DE,klima
koalitionsvertrag,175,unamed,koalitionsvertrag
kalifornien,175,unamed,kalifornien
klimaforscher,175,FFF DE,klima
denmark,175,unamed,denmark
ghgemissions,175,unamed,ghgemissions
 innovations,174,unamed, innovations
ipccreport,174,Agreement,ipcc
dannilebt,174,unamed,dannilebt
elektroauto,174,unamed,elektroauto
 global,173,unamed, global
 forests,173,unamed, forests
by2020weriseup,173,unamed,by2020weriseup
erderwärmung,173,unamed,erderwärmung
 elecctric,172,unamed, elecctric
climatescience,172,#FridayForFuture,climate
 feedbackloop,172,unamed, feedbackloop
sciencedenial,172,unamed,sciencedenial
pollutersout,172,unamed,pollutersout
oesterreich,172,unamed,oesterreich
 renewableenegy,171,unamed, renewableenegy
pressefreiheit,171,unamed,pressefreiheit
 greta,171,Greta Thunberg,greta
 bundesregierung,171,German politics,bundesregierung
clima,170,unamed,clima
veganer,169,unamed,veganer
klimaschutzabkommen,169,FFF DE,klimaschutz
wasserstoffstrategie,169,unamed,wasserstoffstrategie
solarpark,169,unamed,solarpark
pianeta,169,unamed,pianeta
 geothermal,168,unamed, geothermal
roma,168,unamed,roma
pd,168,unamed,pd
linke,168,unamed,linke
landwirtschaft,168,unamed,landwirtschaft
heathrow,168,unamed,heathrow
halloween,167,unamed,halloween
klimaprotest,167,FFF DE,klima
 solardeckel,167,unamed, solardeckel
kinder,167,unamed,kinder
 renewable,166,unamed, renewable
 home,166,unamed, home
